Designator,Mid X,Mid Y,Rotation,Layer
C1,148.7903,-62.02625,0.0,top
C2,145.7903,-65.22625,90.0,top
FID1,112.2,-63.2,0.0,top
FID2,144.4,-54.6,0.0,top
FID3,143.8,-102.0,0.0,top
J1,146.8,-76.73,180.0,top
J12,130.9,-100.6,180.0,top
J14,141.35,-87.6,270.0,top
J2,148.35,-87.6,270.0,top
J3,138.5,-64.495,0.0,top
J4,122.73,-57.2,270.0,top
J5,133.93,-57.2,270.0,top
L1,150.3,-73.125,270.0,top
R1,151.5903,-65.22625,270.0,top
R2,149.8,-78.125,270.0,top
R3,127.925,-57.2,270.0,top
R4,139.125,-57.2,270.0,top
U1,148.7,-65.325,180.0,top
U2,146.85,-70.9875,270.0,top
U3,119.3,-62.45,0.0,top
