Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,100n,
J1,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,BUTTON 1,
J11,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
J2,PinHeader_1x02_P2.54mm_Vertical,1,TERM,
J3,JST_PH_B8B-PH-K_1x08_P2.00mm_Vertical,1,GPS SIM,
J4,JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,1,CAN BUS,
J9,JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,1,JOYSTICK 1,
L1,ACT1210-510-2P-TL00,1,ACT1210-510-2P-TL00,
"R1, R2",0805,2,10k,
R3,0805,1,120,
U1,Teensy_4.0,1,TEENSY 4.0,
U2,HVSON8_0_65mm,1,TJA1462ATK-0Z,
U3,SOT-23,1,PESD2CANFD24V-TR,
